drug,dose,admin,gene,time,method,brain,muscle,colon,caecum,intestines,stomach,liver,kidney,lungs,spleen,heart,ovary,uterus,breast,testes,gall,fat.neck,fat.organ,epododumis,thymus,lymph,penis,brain.Cu
AZD1775,20,IV,TKO,1,LC-MS,22.80357143,,,,,,,,,,,,,,,,,,,,,,
AZD1775,20,IV,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
AZD2461,10,IV,abcb1a -/-,1,LC-MS,8.5,,,,,,,,,,,,,,,,,,,,,,
AZD2461,100,PO,abcb1a -/-,1,LC-MS,10.6,,,,,,,,,,,,,,,,,,,,,,
AZD2461,10,IV,abcg2 -/-,1,LC-MS,1.25,,,,,,,,,,,,,,,,,,,,,,
AZD2461,100,PO,abcg2 -/-,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
AZD2461,10,IV,TKO,1,LC-MS,8.875,,,,,,,,,,,,,,,,,,,,,,
AZD2461,100,PO,TKO,1,LC-MS,10.8,,,,,,,,,,,,,,,,,,,,,,
AZD2461,10,IV,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
AZD2461,100,PO,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
AZD2461,100,PO,abcb1a -/-,4,LC-MS,7.666666667,,,,,,,,,,,,,,,,,,,,,,
AZD2461,100,PO,abcg2 -/-,4,LC-MS,0.5,,,,,,,,,,,,,,,,,,,,,,
AZD2461,100,PO,TKO,4,LC-MS,7,,,,,,,,,,,,,,,,,,,,,,
AZD2461,100,PO,WT,4,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
AZD2461,100,PO,abcb1a -/-,7,LC-MS,8.166666667,,,,,,,,,,,,,,,,,,,,,,
AZD2461,100,PO,abcg2 -/-,7,LC-MS,5.5,,,,,,,,,,,,,,,,,,,,,,
AZD2461,100,PO,TKO,7,LC-MS,9.333333333,,,,,,,,,,,,,,,,,,,,,,
AZD2461,100,PO,WT,7,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Brigatinib,10,PO,abcb1a -/-,8,LC-MS,20.66666667,,,,,,,,,,,,,,2.397727273,,,,,,,,
Brigatinib,10,PO,abcg2 -/-,8,LC-MS,1.444444444,,,,,,,,,,,,,,1.454545455,,,,,,,,
Brigatinib,10,PO,TKO,8,LC-MS,47.88888889,,,,,,,,,,,,,,3.534090909,,,,,,,,
Brigatinib,10,PO,WT,8,LC-MS,1,,,,,,,,,,,,,,1,,,,,,,,
Buparlisib,2,IV,abcb1a -/-,1,LC-MS,1.116186131,,,,,,0.945550019,0.789648992,,0.76341511,,,,,,,,,,,,,
Buparlisib,2,IV,abcg2 -/-,1,LC-MS,0.773612355,,,,,,0.800873329,0.754713768,,0.710889675,,,,,,,,,,,,,
Buparlisib,2,IV,TKO,1,LC-MS,1.032549229,,,,,,0.884012231,0.770085824,,0.664342183,,,,,,,,,,,,,
Buparlisib,2,IV,WT,1,LC-MS,1,,,,,,1,1,,1,,,,,,,,,,,,,
Cabazitaxel,10,PO,abcb1a -/-,1,LC-MS,1.5241023,,,,,,0.13059342,,,,,,,,,,,,,,,,
Cabazitaxel,10,PO,abcg2 -/-,1,LC-MS,0.115539812,,,,,,0.164288946,,,,,,,,,,,,,,,,
Cabazitaxel,10,PO,TKO,1,LC-MS,2.114541094,,,,,,0.14365336,,,,,,,,,,,,,,,,
Cabazitaxel,10,PO,WT,1,LC-MS,1,,,,,,1,,,,,,,,,,,,,,,,
Cediranib,4,IV,abcb1a -/-,24,LC-MS,23.66416791,,,,,,,,,,,,,,,,,,,,,,
Cediranib,4,IV,abcg2 -/-,24,LC-MS,0.865687451,,,,,,,,,,,,,,,,,,,,,,
Cediranib,5,PO,TKO,24,LC-MS,22.95197891,,,,,,,,,,,,,,,,,,,,,,
Cediranib,4,IV,TKO,24,LC-MS,22.91856671,,,,,,,,,,,,,,,,,,,,,,
Cediranib,4,IV,WT,24,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Cediranib,5,PO,WT,24,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Ceritinib,20,PO,abcb1a -/-,3,LC-MS,50.17543877,,,,,,,,,,,,,,,,,,,,,,
Ceritinib,20,PO,abcg2 -/-,3,LC-MS,0.590909109,,,,,,,,,,,,,,,,,,,,,,
Ceritinib,20,PO,TKO,3,LC-MS,102.4242428,,,,,,,,,,,,,,,,,,,,,,
Ceritinib,20,PO,WT,3,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Ceritinib,20,PO,abcb1a -/-,24,LC-MS,77.3809518,,,,,,,,,,,,,,,,,,,,,,
Ceritinib,20,PO,abcg2 -/-,24,LC-MS,1.005952375,,,,,,,,,,,,,,,,,,,,,,
Ceritinib,20,PO,TKO,24,LC-MS,228.977271,,,,,,,,,,,,,,,,,,,,,,
Ceritinib,20,PO,WT,24,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Ciprofloxacin,12-Aug,IV,TKO,1.5,Radio-Labeled,1.1,,,,,,1.259389671,,0.8,,,,,,,,,,,,,,
Ciprofloxacin,12-Aug,IV,WT,1.5,Radio-Labeled,1,,,,,,1,,1,,,,,,,,,,,,,,
Citalopram,1,SC,abcb1a -/-,1,HPLC,1.221489783,,,,,,0.066320416,0.293966963,,0.802591446,,,,,,,,,,,,,
Citalopram,1,SC,WT,1,HPLC,1,,,,,,1,1,,1,,,,,,,,,,,,,
Cobimetinib,10,PO,abcb1a -/-,1,LC-MS,1.21038961,,,,,,,,,,,,,,,,,,,,,,
Cobimetinib,10,PO,abcg2 -/-,1,LC-MS,0.075324675,,,,,,,,,,,,,,,,,,,,,,
Cobimetinib,10,PO,TKO,1,LC-MS,1.155844156,,,,,,,,,,,,,,,,,,,,,,
Cobimetinib,10,PO,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Cobimetinib,10,PO,abcb1a -/-,6,LC-MS,35.20769231,,,,,,,,,,,,,,,,,,,,,,
Cobimetinib,10,PO,abcg2 -/-,6,LC-MS,0.7,,,,,,,,,,,,,,,,,,,,,,
Cobimetinib,10,PO,TKO,6,LC-MS,20.34230769,,,,,,,,,,,,,,,,,,,,,,
Cobimetinib,10,PO,WT,6,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Crizotinib,5,PO,abcb1a -/-,4,LC-MS,12.55294911,,,,,,,,,,,,,,,,,,,,,,
Crizotinib,5,PO,abcg2 -/-,4,LC-MS,0.622377648,,,,,,,,,,,,,,,,,,,,,,
Crizotinib,5,PO,TKO,4,LC-MS,15.19502855,,,,,,,,,,,,,,,,,,,,,,
Crizotinib,5,PO,WT,4,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Crizotinib,5,PO,abcb1a -/-,24,LC-MS,66.11258654,,,,,,,,,,,,,,,,,,,,,,
Crizotinib,5,PO,abcg2 -/-,24,LC-MS,0.948388511,,,,,,,,,,,,,,,,,,,,,,
Crizotinib,5,PO,TKO,24,LC-MS,84.33757029,,,,,,,,,,,,,,,,,,,,,,
Crizotinib,5,PO,WT,24,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Cyclosporin A,1,IV,abcb1a -/-,4,Radio-Labeled,11.92945328,1.251851852,,,1.34953271,0.990306034,0.846164021,0.731309769,0.823706156,1.068476669,1.120799608,,,,1.827160494,0.388905847,,,,0.796948087,0.951324483,,
Cyclosporin A,1,IV,WT,4,Radio-Labeled,1,1,,,1,1,1,1,1,1,1,,,,1,1,,,,1,1,,
D9-THC,3,IP,abcb1a -/-,0.5,GC-MS,1.5,,,,,,,,,,,,,,,,,,,,,,
D9-THC,3,IP,abcg2 -/-,0.5,GC-MS,2.775,,,,,,,,,,,,,,,,,,,,,,
D9-THC,3,IP,WT,0.5,GC-MS,1,,,,,,,,,,,,,,,,,,,,,,
D9-THC,3,IP,abcb1a -/-,1,GC-MS,1.516587678,,,,,,,,,,,,,,,,,,,,,,
D9-THC,3,IP,abcg2 -/-,1,GC-MS,0.914691943,,,,,,,,,,,,,,,,,,,,,,
D9-THC,3,IP,WT,1,GC-MS,1,,,,,,,,,,,,,,,,,,,,,,
D9-THC,3,IP,abcb1a -/-,2,GC-MS,3.215384615,,,,,,,,,,,,,,,,,,,,,,
D9-THC,3,IP,abcg2 -/-,2,GC-MS,4.684615385,,,,,,,,,,,,,,,,,,,,,,
D9-THC,3,IP,WT,2,GC-MS,1,,,,,,,,,,,,,,,,,,,,,,
D9-THC,3,IP,abcb1a -/-,3,GC-MS,0.922155689,,,,,,,,,,,,,,,,,,,,,,
D9-THC,3,IP,abcg2 -/-,3,GC-MS,1.437125749,,,,,,,,,,,,,,,,,,,,,,
D9-THC,3,IP,WT,3,GC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Dasatinib,15,PO,TKO,0.5,HPLC,3.890451512,,,,,,,,,,,,,,,,,,,,,,
Dasatinib,15,PO,WT,0.5,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Dasatinib,15,PO,TKO,1,HPLC,2.454708936,,,,,,,,,,,,,,,,,,,,,,
Dasatinib,15,PO,WT,1,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Dasatinib,15,PO,TKO,2,HPLC,2.29086766,,,,,,,,,,,,,,,,,,,,,,
Dasatinib,15,PO,WT,2,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Dasatinib,15,PO,TKO,4,HPLC,1.348962883,,,,,,,,,,,,,,,,,,,,,,
Dasatinib,15,PO,WT,4,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Dasatinib,15,PO,TKO,6,HPLC,1.621810097,,,,,,,,,,,,,,,,,,,,,,
Dasatinib,15,PO,WT,6,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Dasatinib,15,PO,TKO,12,HPLC,4.365158322,,,,,,,,,,,,,,,,,,,,,,
Dasatinib,15,PO,WT,12,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Dexamethasone,0.2,IV,abcb1a -/-,4,Radio-Labeled,2.489795919,0.954954956,,,,,1.097087379,1.202631579,0.773148149,0.941935483,0.772727272,,,,1.222222223,1.701204358,,,,,,,
Dexamethasone,0.2,IV,WT,4,Radio-Labeled,1,1,,,,,1,1,1,1,1,,,,1,1,,,,,,,
Digoxin,1,IV,abcb1a -/-,4,Radio-Labeled,18.73335261,0.780299694,,,0.592042803,0.827987694,1.070073625,1.009784454,1.154773898,1.210352131,1.005431456,,,,1.479365471,0.925526715,,,,1.181934928,,,
Digoxin,1,IV,WT,4,Radio-Labeled,1,1,,,1,1,1,1,1,1,1,,,,1,1,,,,1,,,
Docetaxel,3,IV,abcb1a -/-,4,LC-MS,4.692211332,,,,2.757875909,,1.193469487,1.713278429,3.061726276,,1.477609865,,,,,,,,,,,,
Docetaxel,3,IV,WT,4,LC-MS,1,,,,1,,1,1,1,,1,,,,,,,,,,,,
Doxorubicin,5,IV,abcb1a -/-,1,HPLC,0.330908831,1.025376075,1.395905197,1.433047465,1.456466071,1.10949338,2.56443072,1.083877451,1.283261804,1.345564073,1.297251591,1.526315789,1.569833679,1.337048245,,,,,,,,,
Doxorubicin,5,IV,WT,1,HPLC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
Doxorubicin,5,IV,abcb1a -/-,4,HPLC,2.90784523,0.878497968,1.024866369,1.214292728,1.354343413,1.600391928,4.69610804,1.024209826,1.107108735,1.003862479,1.149714667,1.4375,0.705225835,1.768971029,,,,,,,,,
Doxorubicin,5,IV,WT,4,HPLC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
Doxorubicin,5,IV,abcb1a -/-,24,HPLC,2.023050927,0.804938275,1.488531508,1.431665029,2.110725955,1.035090018,4.65147508,0.920955698,2.163261007,1.016747842,1.621175868,0.70890411,1.099761503,2.131181557,,,,,,,,,
Doxorubicin,5,IV,WT,24,HPLC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
Elacridar,2.5,IV,abcb1a -/-,8,LC-MS,4.240121812,,,,,,,,,,,,,,,,,,,,,,
Elacridar,2.5,IV,abcg2 -/-,8,LC-MS,8.970892756,,,,,,,,,,,,,,,,,,,,,,
Elacridar,2.5,IV,TKO,8,LC-MS,22.0247867,,,,,,,,,,,,,,,,,,,,,,
Elacridar,2.5,IV,WT,8,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Everolimus,2,IV,abcb1a -/-,1,LC-MS,0.475988593,,,,,,0.04224886,,,,,,,,,,,,,,,,
Everolimus,2,IV,abcg2 -/-,1,LC-MS,0.053963441,,,,,,0.042089967,,,,,,,,,,,,,,,,
Everolimus,2,IV,TKO,1,LC-MS,0.523150748,,,,,,0.044110284,,,,,,,,,,,,,,,,
Everolimus,2,IV,WT,1,LC-MS,1,,,,,,1,,,,,,,,,,,,,,,,
Fisogatinib,10,PO,abcb1a -/-,1,LC-MS,5.833333333,,,,,,0.881067961,,,,,,,,2.181818182,,,,,,,,
Fisogatinib,10,PO,abcg2 -/-,1,LC-MS,1.083333333,,,,,,0.951456311,,,,,,,,0.890909091,,,,,,,,
Fisogatinib,10,PO,TKO,1,LC-MS,6.916666667,,,,,,1.09223301,,,,,,,,2.909090909,,,,,,,,
Fisogatinib,10,PO,WT,1,LC-MS,1,,,,,,1,,,,,,,,1,,,,,,,,
Flavopiridol,5,SQ,abcb1a -/-,0.5,LC-MS,1.69047619,,,,,,,,,,,,,,,,,,,,,,
Flavopiridol,5,SQ,abcg2 -/-,0.5,LC-MS,1.30952381,,,,,,,,,,,,,,,,,,,,,,
Flavopiridol,5,SQ,TKO,0.5,LC-MS,7.404761905,,,,,,,,,,,,,,,,,,,,,,
Flavopiridol,5,SQ,WT,0.5,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Flavopiridol,5,SQ,abcb1a -/-,2,LC-MS,1.576086957,,,,,,,,,,,,,,,,,,,,,,
Flavopiridol,5,SQ,abcg2 -/-,2,LC-MS,1.326086957,,,,,,,,,,,,,,,,,,,,,,
Flavopiridol,5,SQ,TKO,2,LC-MS,6.891304348,,,,,,,,,,,,,,,,,,,,,,
Flavopiridol,5,SQ,WT,2,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Galunisertib,20,PO,abcb1a -/-,1,LC-MS,24.3902439,,,,0.072219959,,1,,,,,,,,,,,,,,,,
Galunisertib,20,PO,abcg2 -/-,1,LC-MS,1.243902439,,,,0.729803171,,1.026315789,,,,,,,,,,,,,,,,
Galunisertib,20,PO,TKO,1,LC-MS,23.65853659,,,,0.118907799,,0.815789474,,,,,,,,,,,,,,,,
Galunisertib,20,PO,WT,1,LC-MS,1,,,,1,,1,,,,,,,,,,,,,,,,
Gimatecan,2,IV,abcb1a -/-,1,HPLC,1.875,,,,,,,,,,,,,,,,,,,,,,
Gimatecan,2,IV,abcg2 -/-,1,HPLC,1.458333333,,,,,,,,,,,,,,,,,,,,,,
Gimatecan,2,IV,TKO,1,HPLC,2.625,,,,,,,,,,,,,,,,,,,,,,
Gimatecan,2,IV,WT,1,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Gimatecan,2,IV,abcb1a -/-,4,HPLC,2.129032258,,,,,,,,,,,,,,,,,,,,,,
Gimatecan,2,IV,abcg2 -/-,4,HPLC,1.548387097,,,,,,,,,,,,,,,,,,,,,,
Gimatecan,2,IV,TKO,4,HPLC,2.709677419,,,,,,,,,,,,,,,,,,,,,,
Gimatecan,2,IV,WT,4,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Ibrutinib,10,PO,abcb1a -/-,1,LC-MS,3.368913171,,,,,,0.55102971,,,,,,,,,,,,,,,,
Ibrutinib,10,PO,abcg2 -/-,1,LC-MS,1.049541974,,,,,,0.934523515,,,,,,,,,,,,,,,,
Ibrutinib,10,PO,TKO,1,LC-MS,5.831858148,,,,,,0.955728129,,,,,,,,,,,,,,,,
Ibrutinib,10,PO,WT,1,LC-MS,1,,,,,,1,,,,,,,,,,,,,,,,
Imatinib,5,SQ,abcb1a -/-,0.5,LC-MS,4.5,,,,,,,,,,,,,,,,,,,,,,
Imatinib,5,SQ,abcg2 -/-,0.5,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Imatinib,5,SQ,TKO,0.5,LC-MS,29,,,,,,,,,,,,,,,,,,,,,,
Imatinib,5,SQ,WT,0.5,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Imatinib,100,PO,abcb1a -/-,1,HPLC,2,,,,,,1.03649635,0.951456311,,,,,,,,,,,,,,,
Imatinib,100,PO,abcg2 -/-,1,HPLC,0.333333333,,,,,,1.386861314,1.145631068,,,,,,,,,,,,,,,
Imatinib,100,PO,TKO,1,HPLC,10.33333333,,,,,,1.459854015,0.951456311,,,,,,,,,,,,,,,
Imatinib,100,PO,WT,1,HPLC,1,,,,,,1,1,,,,,,,,,,,,,,,
Imatinib,5,SQ,abcb1a -/-,2,LC-MS,5.5,,,,,,,,,,,,,,,,,,,,,,
Imatinib,5,SQ,abcg2 -/-,2,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Imatinib,5,SQ,TKO,2,LC-MS,77.5,,,,,,,,,,,,,,,,,,,,,,
Imatinib,5,SQ,WT,2,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Imatinib,100,PO,abcb1a -/-,4,HPLC,1.142857143,,,,,,1.078651685,0.78125,,,,,,,,,,,,,,,
Imatinib,100,PO,abcg2 -/-,4,HPLC,0.285714286,,,,,,1.207865169,0.8,,,,,,,,,,,,,,,
Imatinib,100,PO,TKO,4,HPLC,17.71428571,,,,,,1.691011236,1.05,,,,,,,,,,,,,,,
Imatinib,100,PO,WT,4,HPLC,1,,,,,,1,1,,,,,,,,,,,,,,,
Irinotecan,5,IV,abcg2 -/-,1,HPLC,10.25454545,,,,,,,,,,,,,,,,,,,,,,
Irinotecan,5,IV,TKO,1,HPLC,34.94909091,,,,,,,,,,,,,,,,,,,,,,
Irinotecan,5,IV,WT,1,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Irinotecan,5,IV,abcg2 -/-,4,HPLC,2.926666667,,,,,,,,,,,,,,,,,,,,,,
Irinotecan,5,IV,TKO,4,HPLC,65.91333333,,,,,,,,,,,,,,,,,,,,,,
Irinotecan,5,IV,WT,4,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Ivermectin,0.02,PO,abcb1a -/-,24,Radio-Labeled,26.87179488,1.538461538,1.071960298,,1.200992556,0.522588523,1.176331361,0.923076923,1.217391304,1.136094674,1.230769231,,,,2.291325695,2.880167451,0.795417349,0.371184371,0.855280313,0.865831843,,,
Ivermectin,0.02,PO,WT,24,Radio-Labeled,1,1,1,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,
Lapatinib,72,IV -cont,abcb1a -/-,24,LC-MS,4.320295152,,,,,,,,,,,,,,,,,,,,,,
Lapatinib,7.2,IV -cont,abcb1a -/-,24,LC-MS,3.563457669,,,,,,,,,,,,,,,,,,,,,,
Lapatinib,7.2,IV -cont,abcg2 -/-,24,LC-MS,1.760151864,,,,,,,,,,,,,,,,,,,,,,
Lapatinib,72,IV -cont,abcg2 -/-,24,LC-MS,1.033296377,,,,,,,,,,,,,,,,,,,,,,
Lapatinib,72,IV -cont,TKO,24,LC-MS,45.80010747,,,,,,,,,,,,,,,,,,,,,,
Lapatinib,7.2,IV -cont,TKO,24,LC-MS,43.56980988,,,,,,,,,,,,,,,,,,,,,,
Lapatinib,72,IV -cont,WT,24,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Lapatinib,7.2,IV -cont,WT,24,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Larotrectinib,10,PO,TKO,1,LC-MS,6.25,,,,0.028416779,,0.544303797,,,,,,,,1.310344828,,,,,,,,
Larotrectinib,10,PO,WT,1,LC-MS,1,,,,1,,1,,,,,,,,1,,,,,,,,
Larotrectinib,15,PO,WT,1,LC-MS,1,,,,1,,1,,,,,,,,1,,,,,,,,
Levosulpiride,10,PO,abcb1a -/-,2,HPLC,1.419702041,,,,,,,,,,,,,,,,,,,,,,
Levosulpiride,10,PO,WT,2,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Lorlatinib,10,PO,TKO,2,LC-MS,3.3379872,,,,,,,,,,,,,,2.205418758,,,,,,,,
Lorlatinib,10,PO,WT,2,LC-MS,1,,,,,,,,,,,,,,1,,,,,,,,
Lorlatinib,10,PO,abcb1a -/-,8,LC-MS,0.853677146,,,,,,,,,,,,,,,,,,,,,,
Lorlatinib,10,PO,abcg2 -/-,8,LC-MS,3.680080734,,,,,,,,,,,,,,,,,,,,,,
Lorlatinib,10,PO,TKO,8,LC-MS,3.712456046,,,,,,,,,,,,,,,,,,,,,,
Lorlatinib,10,PO,WT,8,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Milciclib,10,PO,abcb1a -/-,4,LC-MS,2.277310924,,,,,,1.174684994,,,,,,,,,,,,,,,,
Milciclib,10,PO,abcg2 -/-,4,LC-MS,1.235294118,,,,,,0.931844215,,,,,,,,,,,,,,,,
Milciclib,10,PO,TKO,4,LC-MS,5.151260504,,,,,,1.1139748,,,,,,,,,,,,,,,,
Milciclib,10,PO,WT,4,LC-MS,1,,,,,,1,,,,,,,,,,,,,,,,
Milciclib,10,PO,TKO,24,LC-MS,3.916666667,,,,,,0.748914858,,,,,,,,,,,,,,,,
Milciclib,10,PO,WT,24,LC-MS,1,,,,,,1,,,,,,,,,,,,,,,,
Momelotinib,10,PO,abcb1a -/-,2,LC-MS,2.100151613,,,,,,,,,,,,,,,,,,,,,,
Momelotinib,10,PO,abcg2 -/-,2,LC-MS,2.638244271,,,,,,,,,,,,,,,,,,,,,,
Momelotinib,10,PO,TKO,2,LC-MS,6.950703115,,,,,,,,,,,,,,,,,,,,,,
Momelotinib,10,PO,WT,2,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Momelotinib,10,PO,abcb1a -/-,8,LC-MS,3.483068874,,,,,,,,,,,,,,,,,,,,,,
Momelotinib,10,PO,abcg2 -/-,8,LC-MS,7.167128512,,,,,,,,,,,,,,,,,,,,,,
Momelotinib,10,PO,TKO,8,LC-MS,141.7251159,,,,,,,,,,,,,,,,,,,,,,
Momelotinib,10,PO,WT,8,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Morphine,0.2,IV,abcb1a -/-,4,Radio-Labeled,1.476110772,1.098790323,,,0.649021789,0.741303702,0.948202009,0.681476555,0.968345696,0.961839644,1.003243339,,,,0.586021505,1.924863806,,,,0.662459093,,,
Morphine,0.2,IV,WT,4,Radio-Labeled,1,1,,,1,1,1,1,1,1,1,,,,1,1,,,,1,,,
Niraparib,50,PO,abcb1a -/-,4,LC-MS,0.834971232,,,,0.972037362,,,,,,,,,,,,,,,,,,
Niraparib,50,PO,abcg2 -/-,4,LC-MS,9.375400736,,,,0.184942565,,,,,,,,,,,,,,,,,,
Niraparib,50,PO,TKO,4,LC-MS,11.93636661,,,,0.213869526,,,,,,,,,,,,,,,,,,
Niraparib,50,PO,WT,4,LC-MS,1,,,,1,,,,,,,,,,,,,,,,,,
Olamzapine,2.5,IP,abcb1a -/-,1,HPLC,2.222222222,,,,,,2.2,1.692307692,,0.903846154,,,,,,,,,,,,0.8,
Olamzapine,2.5,IP,WT,1,HPLC,1,,,,,,1,1,,1,,,,,,,,,,,,1,
Olaparib,60,PO,abcb1a -/-,1,LC-MS,6.840744882,,,,,,,,,,,,,,,,,,,,,,5.594202899
Olaparib,60,PO,abcg2 -/-,1,LC-MS,1.321391576,,,,,,,,,,,,,,,,,,,,,,1.043478261
Olaparib,60,PO,TKO,1,LC-MS,10.62975463,,,,,,,,,,,,,,,,,,,,,,8.043478261
Olaparib,60,PO,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,1
Osimertinib,10,PO,abcb1a -/-,5,LC-MS,3.797197228,,,,,,1.103847434,,,,,,,,,,,,,,,,
Osimertinib,10,PO,abcg2 -/-,5,LC-MS,0.570112573,,,,,,0.846959268,,,,,,,,,,,,,,,,
Osimertinib,10,PO,TKO,5,LC-MS,5.580087811,,,,,,0.696863712,,,,,,,,,,,,,,,,
Osimertinib,10,PO,WT,5,LC-MS,1,,,,,,1,,,,,,,,,,,,,,,,
Paclitaxel,5 ug/mL,IV -cont,abcb1a -/-,3,LC-MS,2.040201019,,,,,,,,,,,,,,,,,,,,,,
Paclitaxel,5 ug/mL,IV -cont,WT,3,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Palomid 529,54,IV,TKO,1,HPLC,1.174179452,,,,,,,,,,,,,,,,,,,,,,
